event_id,match_id,minute,second,team_name,player_name,event_type,xg,shot_outcome,shot_type,body_part,technique,play_pattern,x,y,end_x,end_y,end_z,is_goal
69cf6c14-f567-4431-9254-58e63c8410d3,3753981,51,45,Aston Villa,Libor Kozák,Shot,0.053891484,Saved,Open Play,Right Foot,Normal,From Free Kick,103.4,39.3,117.2,38.4,0.4,0
c2537717-3d92-4782-841a-1f83c54d2bf2,3753981,52,12,Aston Villa,Aly Cissokho,Shot,0.029706685,Blocked,Open Play,Left Foot,Half Volley,From Corner,101.3,26.9,113.6,37.9,,0
fb3e865c-2def-4712-b276-6e6129df6e8c,3753981,55,39,Crystal Palace,Yohan Cabaye,Shot,0.0074018124,Saved,Free Kick,Right Foot,Normal,From Free Kick,87.7,20.1,115.4,38.2,1.1,0
e6091515-61e3-4add-841a-c3030c1ee4b4,3753981,57,36,Aston Villa,Joleon Lescott,Shot,0.1488576,Saved,Open Play,Head,Normal,From Throw In,115.9,38.9,118.8,39.3,1.7,0
9681ffb0-274e-4277-a65d-8a2543dcabc5,3753981,68,58,Crystal Palace,Yohan Cabaye,Shot,0.032728624,Blocked,Free Kick,Right Foot,Normal,From Free Kick,97.8,22.8,105.9,28.2,,0
bb4c0420-10d6-4742-b050-b51bd028fb6e,3753981,70,50,Crystal Palace,Connor Wickham,Shot,0.006560814,Off T,Open Play,Right Foot,Normal,From Throw In,88.7,25.0,120.0,41.3,4.7,0
94d4f7da-ecd3-4db5-bbb6-980540fe21cf,3753981,80,55,Crystal Palace,Connor Wickham,Shot,0.11093604,Wayward,Open Play,Head,Normal,From Free Kick,114.6,44.5,115.3,40.8,,0
6f6ddbc8-82e1-407f-94f5-60e037a18b2e,3753981,84,44,Aston Villa,Jordan Ayew,Shot,0.2034293,Off T,Open Play,Right Foot,Normal,Regular Play,111.0,31.2,120.0,46.9,5.1,0
568c6457-941a-4833-9f38-78c02931f8cc,3753981,87,9,Crystal Palace,Scott Dann,Shot,0.052434195,Off T,Open Play,Head,Normal,From Throw In,112.0,48.0,120.0,43.4,3.8,0
7181703c-5745-4c1c-9fd7-35f8d7061ee7,3753982,3,0,Leicester City,Christian Fuchs,Shot,0.07560564,Off T,Open Play,Head,Normal,From Corner,110.8,38.3,120.0,34.2,2.4,0
67ee79dc-850a-4323-bbd9-9923cb59698d,3753982,10,57,Leicester City,Shinji Okazaki,Shot,0.07846204,Blocked,Open Play,Right Foot,Backheel,Regular Play,114.5,47.1,114.9,46.5,,0
61fd87f3-7538-4290-aa4a-843e529f2ef2,3753982,11,53,Leicester City,Wes Morgan,Shot,0.078849934,Blocked,Open Play,Right Foot,Half Volley,From Throw In,110.4,31.5,111.9,32.4,,0
db97aaac-799c-411a-bfb0-8b9cb917a445,3753982,20,31,Southampton,Virgil van Dijk,Shot,0.07504804,Blocked,Open Play,Left Foot,Half Volley,From Corner,110.0,32.1,111.4,32.6,,0
449f51d4-9c10-4480-81e5-ac0b029b8512,3753982,28,29,Southampton,Graziano Pellè,Shot,0.053692278,Off T,Open Play,Head,Normal,From Goal Kick,105.2,45.4,120.0,42.9,4.2,0
3780837b-a510-4c21-9f29-1989b9d91de1,3753982,31,5,Southampton,Sadio Mané,Shot,0.15275425,Blocked,Open Play,Right Foot,Normal,From Counter,104.1,45.7,107.6,44.1,,0
86df078f-6746-4001-bc58-81322bea0ac5,3753982,34,44,Southampton,José Miguel da Rocha Fonte,Shot,0.019960595,Saved,Open Play,Right Foot,Normal,From Corner,92.3,53.9,119.4,42.1,2.1,0
11a37944-2ab6-4990-8d0a-d6e6dba75516,3753982,35,50,Southampton,Jordy Clasie,Shot,0.02179572,Off T,Open Play,Right Foot,Normal,From Corner,98.9,25.0,120.0,46.5,3.9,0
d92a7283-6ddd-4b57-bfe3-a826d1f3aa01,3753982,37,20,Leicester City,Wes Morgan,Shot,0.12992574,Goal,Open Play,Head,Normal,From Free Kick,111.2,39.3,120.0,36.5,1.3,1
5457a0d5-72f3-4b04-b69a-54454f5b1e41,3753982,42,50,Leicester City,Marc Albrighton,Shot,0.02392063,Blocked,Open Play,Right Foot,Normal,From Keeper,89.7,37.8,96.4,39.1,,0
88a63113-9201-469f-8ca0-da948f025f6c,3753982,62,18,Southampton,Jordy Clasie,Shot,0.031402048,Wayward,Open Play,Right Foot,Half Volley,From Throw In,95.0,45.2,103.6,28.1,,0
2f493347-2389-41cb-84e0-14af64500daf,3753982,62,22,Southampton,Dušan Tadić,Shot,0.05966204,Blocked,Open Play,Right Foot,Normal,From Throw In,105.8,30.6,106.6,31.3,,0
857882ed-89a5-4920-87b2-7383d3a8572b,3753982,69,15,Southampton,Ryan Bertrand,Shot,0.040169742,Off T,Open Play,Left Foot,Normal,Regular Play,110.2,24.3,120.0,35.2,0.6,0
eace103b-b53b-4734-ac87-13dca90638ab,3753982,70,24,Leicester City,Danny Simpson,Shot,0.5782761,Saved,Open Play,Right Foot,Normal,From Goal Kick,114.1,45.7,119.1,40.1,0.5,0
91b07ca1-4cb0-48fa-91df-c939affa5c08,3753982,72,43,Southampton,Charlie Austin,Shot,0.010911994,Blocked,Open Play,Right Foot,Half Volley,From Throw In,118.1,53.2,118.3,51.6,,0
189ac493-43e9-49dc-babb-45a4a78dfbd6,3753982,74,50,Leicester City,Robert Huth,Shot,0.110241674,Blocked,Open Play,Head,Normal,From Free Kick,113.6,39.2,114.2,39.1,,0
82c86349-ccf7-4f14-897b-f5e9356686f2,3753982,76,59,Leicester City,Riyad Mahrez,Shot,0.017941173,Saved,Open Play,Left Foot,Normal,From Throw In,90.4,39.8,118.7,37.6,2.0,0
cbd248dc-0342-4fe8-a549-a67e0963be8f,3753982,77,33,Southampton,Sadio Mané,Shot,0.05307679,Off T,Open Play,Left Foot,Normal,Regular Play,104.6,55.2,120.0,33.3,5.8,0
7c45a9ce-3835-478e-99d1-87ed8f58b67b,3753982,80,26,Leicester City,Danny Drinkwater,Shot,0.014961162,Off T,Open Play,Left Foot,Normal,Regular Play,96.2,57.4,120.0,28.3,3.1,0
fd99dcc9-d985-4f53-9e60-3be95eca7471,3753982,83,38,Leicester City,Wes Morgan,Shot,0.05190777,Blocked,Open Play,Right Foot,Volley,From Corner,104.6,38.9,105.9,39.2,,0
4867015f-8dda-417b-b7f8-2f6d9a441fd4,3753982,84,42,Leicester City,Jamie Vardy,Shot,0.07760177,Saved,Open Play,Right Foot,Normal,Regular Play,116.4,50.1,118.7,44.1,0.0,0
ae8e73ec-0f8b-48f9-a610-577b0af7fdb0,3753986,1,6,Stoke City,Bojan Krkíc Pérez,Shot,0.014494824,Off T,Open Play,Right Foot,Normal,Regular Play,84.7,36.1,120.0,47.0,0.5,0
77a88768-f545-4e96-894d-9f368f0020ad,3753986,3,1,Stoke City,Ibrahim Afellay,Shot,0.011136176,Off T,Open Play,Left Foot,Volley,From Free Kick,108.8,22.3,120.0,28.9,7.5,0
f4594568-e429-4c65-b192-aa42cb936f73,3753986,7,37,Liverpool,Alberto Moreno Pérez,Shot,0.020312792,Goal,Open Play,Left Foot,Normal,From Free Kick,96.5,24.2,120.0,43.2,0.4,1
485ebf8d-1cb7-4058-b6a4-d160de23bec4,3753986,21,33,Stoke City,Bojan Krkíc Pérez,Shot,0.20034407,Goal,Open Play,Head,Normal,From Free Kick,111.2,39.3,120.0,43.4,0.5,1
1c41d3d8-b5e7-4892-be52-0efbe556b076,3753986,27,48,Liverpool,Daniel Andre Sturridge,Shot,0.038519092,Off T,Open Play,Left Foot,Normal,From Free Kick,93.3,44.0,120.0,46.3,0.9,0
21c49b6a-3846-4978-8b20-771d73e9bd55,3753986,31,50,Liverpool,Daniel Andre Sturridge,Shot,0.6422228,Goal,Open Play,Head,Normal,From Throw In,117.4,43.0,120.0,41.6,1.9,1
6377c69f-0a28-40d2-bc66-e7c786444b2f,3753986,38,24,Stoke City,Ryan Shawcross,Shot,0.09014168,Off T,Open Play,Head,Normal,From Free Kick,112.8,33.4,120.0,47.2,1.8,0
acd6ea07-5d3a-46f1-99d4-88c0db5710ee,3753986,40,36,Stoke City,Xherdan Shaqiri,Shot,0.008468246,Off T,Free Kick,Left Foot,Normal,From Free Kick,85.3,52.6,120.0,45.6,6.4,0
d65affeb-fe6c-4832-b5f8-44a90fb67f13,3753986,41,41,Stoke City,Gilbert Gianelli Imbula Wanga,Shot,0.022389097,Saved,Open Play,Left Foot,Normal,Regular Play,93.3,27.0,117.5,37.5,0.5,0
