match_id,team_name,formation
3754156,Watford,4-4-2
3754265,Arsenal,4-2-3-1
3754265,Tottenham Hotspur,4-2-3-1
3754000,Sunderland,4-2-3-1
3754000,Southampton,4-2-3-1
3754003,Manchester United,4-2-3-1
3754003,Liverpool,4-3-3
3754344,Swansea City,4-2-3-1
3754344,Newcastle United,4-2-3-1
3754131,West Ham United,4-3-2-1
3754131,AFC Bournemouth,4-4-2
3754300,Everton,4-2-3-1
3754300,Watford,4-4-1-1
3754312,Crystal Palace,4-5-1
3754312,Arsenal,4-2-3-1
3754138,Norwich City,4-1-4-1
3754138,Crystal Palace,4-4-1-1
3754203,West Ham United,4-3-3
3754203,Leicester City,4-4-2
3754190,Crystal Palace,4-2-3-1
3754190,Aston Villa,4-1-2-1-2
3754066,Manchester City,4-2-3-1
3754066,Chelsea,4-2-3-1
3754034,Southampton,4-2-3-1
3754034,Everton,4-2-3-1
3753985,Stoke City,4-2-3-1
3753985,Liverpool,4-2-3-1
3753987,Leicester City,4-4-2
3753987,Tottenham Hotspur,4-2-3-1
3754189,Watford,4-2-3-1
3754189,Southampton,3-4-1-2
3754129,Arsenal,4-2-3-1
3754129,Liverpool,4-3-3
3754180,Sunderland,4-1-4-1
3754180,Swansea City,4-2-3-1
3754059,West Bromwich Albion,4-1-4-1
3754059,Chelsea,4-2-3-1
3754064,Southampton,4-4-2
3754064,Liverpool,4-4-2
3754065,Tottenham Hotspur,4-2-3-1
3754065,Leicester City,4-4-2
3754173,Arsenal,4-2-3-1
3754173,AFC Bournemouth,4-1-4-1
3754175,Sunderland,4-5-1
3754175,West Bromwich Albion,4-2-3-1
3753973,Chelsea,4-2-3-1
3753973,West Ham United,4-1-4-1
3753975,Sunderland,4-2-3-1
3753975,AFC Bournemouth,4-1-4-1
3753976,Arsenal,4-2-3-1
3753976,Swansea City,4-1-2-1-2
3753977,Watford,4-4-2
3753977,Stoke City,4-2-3-1
3753980,Everton,4-2-3-1
3753980,Arsenal,4-2-3-1
3753981,Aston Villa,4-3-3
3753981,Crystal Palace,4-2-3-1
3753982,Leicester City,4-4-2
3753982,Southampton,3-4-2-1
3753986,Liverpool,4-4-1-1
3753986,Stoke City,4-2-3-1
3753988,AFC Bournemouth,4-4-2
3753988,Swansea City,4-2-3-1
3753989,Sunderland,4-1-4-1
3753989,Everton,4-2-3-1
3753990,Sunderland,4-1-4-1
3753990,Arsenal,4-2-3-1
3753991,Liverpool,4-4-1-1
3753991,Manchester City,4-2-3-1
3753992,Tottenham Hotspur,4-2-3-1
3753992,Southampton,4-2-3-1
3753994,Southampton,4-2-3-1
3753994,Crystal Palace,4-4-2
3753997,West Ham United,4-3-3
3753997,Aston Villa,4-1-2-1-2
3753998,West Ham United,4-3-3
3753998,Southampton,4-2-3-1
3754002,Leicester City,4-4-2
3754002,Newcastle United,4-2-3-1
3754004,AFC Bournemouth,4-5-1
3754004,Norwich City,4-4-1-1
3754005,Stoke City,4-2-3-1
3754005,Newcastle United,4-2-3-1
3754009,Arsenal,4-2-3-1
3754009,Crystal Palace,4-4-2
3754012,Southampton,4-2-3-1
3754012,Chelsea,4-2-3-1
3754016,Southampton,4-2-3-1
3754016,Newcastle United,4-2-3-1
3754018,Swansea City,4-2-3-1
3754018,Liverpool,4-4-1-1
3754019,Manchester United,4-2-3-1
3754019,Chelsea,4-2-3-1
3754021,AFC Bournemouth,4-1-4-1
3754021,West Ham United,4-2-3-1
3754022,Crystal Palace,4-1-4-1
3754022,Norwich City,4-4-1-1
3754024,Newcastle United,4-2-3-1
3754024,Swansea City,4-2-3-1
3754026,Crystal Palace,4-2-3-1
3754026,Stoke City,4-1-4-1
3754027,Tottenham Hotspur,4-2-3-1
3754027,Sunderland,4-2-3-1
3754030,Watford,4-4-2
3754030,Everton,4-2-3-1
3754031,Sunderland,4-1-4-1
3754031,Manchester United,4-2-3-1
3754032,Stoke City,4-2-3-1
3754032,Norwich City,4-4-1-1
3754033,Leicester City,4-4-2
3754033,Everton,4-4-2
3754035,Manchester City,4-4-2
3754035,West Bromwich Albion,4-2-3-1
3754036,Sunderland,4-2-3-1
3754036,Aston Villa,4-3-3
3754061,Chelsea,4-2-3-1
3754061,Stoke City,4-2-3-1
3754062,Chelsea,4-2-3-1
3754062,West Bromwich Albion,4-1-4-1
3754063,Watford,4-4-2
3754063,Aston Villa,3-5-2
3754069,Arsenal,4-2-3-1
3754069,Newcastle United,4-4-1-1
3754070,Aston Villa,3-5-2
3754070,Newcastle United,4-2-3-1
3754071,Swansea City,4-2-3-1
3754071,Sunderland,4-2-3-1
3754075,Aston Villa,4-3-3
3754075,Chelsea,4-2-3-1
3754080,Tottenham Hotspur,4-2-3-1
3754080,Watford,4-2-3-1
3754081,West Bromwich Albion,4-4-2
3754081,Manchester United,4-1-4-1
3754084,West Bromwich Albion,4-4-1-1
3754084,Aston Villa,4-3-3
3754086,West Ham United,4-3-3
3754086,Watford,4-4-2
3754087,Liverpool,4-2-3-1
3754087,Tottenham Hotspur,4-2-3-1
3754088,Newcastle United,4-2-3-1
3754088,Manchester United,4-2-3-1
3754089,Crystal Palace,4-2-3-1
3754089,AFC Bournemouth,4-1-4-1
3754092,Chelsea,4-2-3-1
3754092,Tottenham Hotspur,4-2-3-1
3754094,Manchester United,4-2-3-1
3754094,Stoke City,4-2-3-1
3754095,Sunderland,4-1-4-1
3754095,Manchester City,4-4-2
3754100,Newcastle United,4-2-3-1
3754100,Sunderland,4-1-4-1
3754101,Norwich City,4-4-1-1
3754101,Southampton,4-2-3-1
3754103,Watford,4-1-2-1-2
3754103,Chelsea,4-2-3-1
3754108,Sunderland,4-1-4-1
3754108,Chelsea,4-2-3-1
3754110,West Ham United,4-3-3
3754110,Manchester City,4-2-3-1
3754111,Arsenal,4-2-3-1
3754111,Chelsea,4-2-3-1
3754114,Crystal Palace,4-2-3-1
3754114,Chelsea,4-2-3-1
3754116,Swansea City,4-2-3-1
3754116,Chelsea,4-2-3-1
3754118,Arsenal,4-2-3-1
3754118,Watford,4-4-2
3754120,Southampton,3-4-2-1
3754120,West Ham United,3-4-1-2
3754121,Watford,4-1-2-1-2
3754121,AFC Bournemouth,4-4-2
3754122,West Bromwich Albion,4-4-1-1
3754122,Stoke City,4-2-3-1
3754123,Everton,4-2-3-1
3754123,Norwich City,4-4-1-1
3754124,Manchester City,4-2-3-1
3754124,Manchester United,4-3-3
3754125,Chelsea,4-2-3-1
3754125,Everton,4-2-3-1
3754127,Stoke City,4-3-3
3754127,Everton,4-2-3-1
3754132,Stoke City,4-2-3-1
3754132,Sunderland,4-1-4-1
3754134,West Ham United,4-4-2
3754134,Manchester United,4-1-4-1
3754137,Everton,4-3-3
3754137,Southampton,4-4-2
3754139,Swansea City,4-2-3-1
3754139,Southampton,3-5-2
3754140,Everton,4-3-3
3754140,Tottenham Hotspur,4-2-3-1
3754142,Manchester City,4-4-2
3754142,Everton,4-2-3-1
3754144,AFC Bournemouth,4-4-2
3754144,Manchester City,4-2-3-1
3754147,Manchester City,4-2-3-1
3754147,Tottenham Hotspur,4-2-3-1
3754149,Swansea City,4-3-3
3754149,Manchester City,4-4-2
3754151,Swansea City,4-2-3-1
3754151,Norwich City,4-2-3-1
3754152,Sunderland,4-1-4-1
3754152,Leicester City,4-4-2
3754154,Liverpool,4-1-2-1-2
3754154,Newcastle United,4-2-3-1
3754155,West Bromwich Albion,4-4-2
3754155,Watford,4-4-2
3754158,West Ham United,4-2-3-1
3754158,Swansea City,4-3-3
3754159,Manchester United,4-1-4-1
3754159,AFC Bournemouth,4-4-2
3754161,Swansea City,4-1-2-1-2
3754161,Watford,4-4-2
3754163,Everton,4-3-3
3754163,Swansea City,4-3-3
3754164,Southampton,4-2-3-1
3754164,Sunderland,4-1-4-1
3754165,Manchester United,4-1-4-1
3754165,Leicester City,4-4-2
3754168,Southampton,3-4-3
3754168,West Bromwich Albion,4-1-4-1
3754170,Newcastle United,4-2-3-1
3754170,Crystal Palace,4-2-3-1
3754172,Norwich City,4-4-1-1
3754172,Sunderland,4-1-4-1
3754176,West Ham United,4-3-3
3754176,Crystal Palace,4-5-1
3754177,Newcastle United,4-2-3-1
3754177,AFC Bournemouth,4-4-2
3754179,Crystal Palace,4-4-1-1
3754179,Tottenham Hotspur,4-2-3-1
3754181,Crystal Palace,4-4-2
3754181,Leicester City,4-4-2
3754183,Southampton,4-2-3-1
3754183,Watford,4-4-2
3754184,Arsenal,4-2-3-1
3754184,Norwich City,4-4-1-1
3754187,Stoke City,4-2-3-1
3754187,Tottenham Hotspur,4-2-3-1
3754191,Southampton,4-2-3-1
3754191,AFC Bournemouth,4-4-1-1
3754192,West Bromwich Albion,4-2-3-1
3754192,West Ham United,4-4-2
3754195,West Bromwich Albion,4-4-1-1
3754195,Newcastle United,4-4-2
3754196,Stoke City,4-2-3-1
3754196,Southampton,4-4-2
3754199,Stoke City,4-2-3-1
3754199,West Ham United,4-1-4-1
3754200,Manchester United,3-4-1-2
3754200,Southampton,3-4-3
3754201,Arsenal,4-2-3-1
3754201,Southampton,4-2-3-1
3754202,Stoke City,4-2-3-1
3754202,Arsenal,4-2-3-1
3754206,Newcastle United,4-2-3-1
3754206,Manchester City,4-2-3-1
3754207,Norwich City,4-2-3-1
3754207,Watford,4-4-2
